[Peptides-func] task=multi_label level=graph metric=macro_ap (higher_is_better=True)
  Loading cached distance masks from ./data/Peptides-func/dist_masks/train.pkl
  Loading cached distance masks from ./data/Peptides-func/dist_masks/val.pkl
  Loading cached distance masks from ./data/Peptides-func/dist_masks/test.pkl
Head -> hop set assignment:
  head 0: [0, 1]
epoch 042 |  84.6s | train loss 0.1649 AP 0.7152 | val loss 0.1920 AP 0.6775 | test loss 0.2027 AP 0.6469 | best val 0.6775 (epoch 42, test 0.6469186806526562)
epoch 043 |  87.3s | train loss 0.1630 AP 0.7219 | val loss 0.1989 AP 0.6780 | test loss 0.2101 AP 0.6512 | best val 0.6780 (epoch 43, test 0.6512473791528349)
epoch 044 |  87.5s | train loss 0.1604 AP 0.7286 | val loss 0.1959 AP 0.6648 | test loss 0.2079 AP 0.6422 | best val 0.6780 (epoch 43, test 0.6512473791528349)
epoch 045 |  88.5s | train loss 0.1616 AP 0.7228 | val loss 0.1930 AP 0.6725 | test loss 0.2026 AP 0.6461 | best val 0.6780 (epoch 43, test 0.6512473791528349)
epoch 046 |  87.1s | train loss 0.1567 AP 0.7378 | val loss 0.1920 AP 0.6709 | test loss 0.2003 AP 0.6563 | best val 0.6780 (epoch 43, test 0.6512473791528349)
epoch 047 |  90.7s | train loss 0.1529 AP 0.7464 | val loss 0.2069 AP 0.6804 | test loss 0.2160 AP 0.6570 | best val 0.6804 (epoch 47, test 0.6570039437417439)
epoch 048 |  87.3s | train loss 0.1544 AP 0.7420 | val loss 0.1938 AP 0.6670 | test loss 0.1988 AP 0.6477 | best val 0.6804 (epoch 47, test 0.6570039437417439)
epoch 049 |  89.7s | train loss 0.1509 AP 0.7469 | val loss 0.1986 AP 0.6783 | test loss 0.2093 AP 0.6440 | best val 0.6804 (epoch 47, test 0.6570039437417439)
epoch 050 |  87.5s | train loss 0.1487 AP 0.7556 | val loss 0.1967 AP 0.6969 | test loss 0.2107 AP 0.6686 | best val 0.6969 (epoch 50, test 0.6685999932417699)
epoch 051 |  88.4s | train loss 0.1476 AP 0.7607 | val loss 0.1896 AP 0.6904 | test loss 0.1985 AP 0.6674 | best val 0.6969 (epoch 50, test 0.6685999932417699)
epoch 052 |  85.9s | train loss 0.1449 AP 0.7674 | val loss 0.1900 AP 0.6817 | test loss 0.2030 AP 0.6573 | best val 0.6969 (epoch 50, test 0.6685999932417699)
epoch 053 |  88.4s | train loss 0.1457 AP 0.7632 | val loss 0.1865 AP 0.6875 | test loss 0.1989 AP 0.6726 | best val 0.6969 (epoch 50, test 0.6685999932417699)
epoch 054 |  88.5s | train loss 0.1430 AP 0.7671 | val loss 0.1976 AP 0.6870 | test loss 0.2041 AP 0.6738 | best val 0.6969 (epoch 50, test 0.6685999932417699)
epoch 055 |  88.8s | train loss 0.1408 AP 0.7754 | val loss 0.1990 AP 0.6719 | test loss 0.2027 AP 0.6657 | best val 0.6969 (epoch 50, test 0.6685999932417699)
epoch 056 |  86.5s | train loss 0.1379 AP 0.7786 | val loss 0.1888 AP 0.6781 | test loss 0.1974 AP 0.6721 | best val 0.6969 (epoch 50, test 0.6685999932417699)
epoch 057 |  84.6s | train loss 0.1394 AP 0.7778 | val loss 0.1912 AP 0.6878 | test loss 0.2063 AP 0.6708 | best val 0.6969 (epoch 50, test 0.6685999932417699)
epoch 058 |  86.1s | train loss 0.1365 AP 0.7868 | val loss 0.1974 AP 0.6775 | test loss 0.2020 AP 0.6691 | best val 0.6969 (epoch 50, test 0.6685999932417699)
epoch 059 |  88.3s | train loss 0.1348 AP 0.7884 | val loss 0.2007 AP 0.6902 | test loss 0.2092 AP 0.6770 | best val 0.6969 (epoch 50, test 0.6685999932417699)
epoch 060 |  87.4s | train loss 0.1307 AP 0.7966 | val loss 0.1976 AP 0.6845 | test loss 0.2135 AP 0.6652 | best val 0.6969 (epoch 50, test 0.6685999932417699)
epoch 061 |  87.6s | train loss 0.1308 AP 0.7963 | val loss 0.2017 AP 0.6777 | test loss 0.2071 AP 0.6611 | best val 0.6969 (epoch 50, test 0.6685999932417699)
epoch 062 |  89.5s | train loss 0.1280 AP 0.8012 | val loss 0.1958 AP 0.6957 | test loss 0.2069 AP 0.6775 | best val 0.6969 (epoch 50, test 0.6685999932417699)
epoch 063 |  89.4s | train loss 0.1267 AP 0.8029 | val loss 0.2030 AP 0.6931 | test loss 0.2117 AP 0.6748 | best val 0.6969 (epoch 50, test 0.6685999932417699)
epoch 064 |  86.9s | train loss 0.1282 AP 0.8040 | val loss 0.1907 AP 0.6940 | test loss 0.1978 AP 0.6816 | best val 0.6969 (epoch 50, test 0.6685999932417699)
epoch 065 |  87.5s | train loss 0.1236 AP 0.8122 | val loss 0.2107 AP 0.6902 | test loss 0.2210 AP 0.6700 | best val 0.6969 (epoch 50, test 0.6685999932417699)
epoch 066 |  88.3s | train loss 0.1229 AP 0.8142 | val loss 0.2030 AP 0.6873 | test loss 0.2145 AP 0.6672 | best val 0.6969 (epoch 50, test 0.6685999932417699)
epoch 067 |  88.3s | train loss 0.1214 AP 0.8204 | val loss 0.2035 AP 0.6918 | test loss 0.2100 AP 0.6778 | best val 0.6969 (epoch 50, test 0.6685999932417699)
epoch 068 |  90.1s | train loss 0.1191 AP 0.8184 | val loss 0.1946 AP 0.6981 | test loss 0.2061 AP 0.6843 | best val 0.6981 (epoch 68, test 0.6843298159541192)
epoch 069 |  86.9s | train loss 0.1214 AP 0.8161 | val loss 0.1967 AP 0.6999 | test loss 0.2076 AP 0.6820 | best val 0.6999 (epoch 69, test 0.6820030361243832)
epoch 070 |  88.1s | train loss 0.1184 AP 0.8211 | val loss 0.1972 AP 0.6974 | test loss 0.2070 AP 0.6727 | best val 0.6999 (epoch 69, test 0.6820030361243832)
epoch 071 |  88.7s | train loss 0.1171 AP 0.8209 | val loss 0.2068 AP 0.6926 | test loss 0.2161 AP 0.6770 | best val 0.6999 (epoch 69, test 0.6820030361243832)
epoch 072 |  87.7s | train loss 0.1178 AP 0.8250 | val loss 0.2111 AP 0.7029 | test loss 0.2168 AP 0.6860 | best val 0.7029 (epoch 72, test 0.6859584064746134)
epoch 073 |  89.2s | train loss 0.1146 AP 0.8301 | val loss 0.1886 AP 0.7095 | test loss 0.2028 AP 0.6842 | best val 0.7095 (epoch 73, test 0.684196581534904)
epoch 074 |  90.6s | train loss 0.1127 AP 0.8363 | val loss 0.2001 AP 0.6991 | test loss 0.2101 AP 0.6838 | best val 0.7095 (epoch 73, test 0.684196581534904)
epoch 075 |  88.4s | train loss 0.1106 AP 0.8379 | val loss 0.2004 AP 0.6938 | test loss 0.2077 AP 0.6789 | best val 0.7095 (epoch 73, test 0.684196581534904)
epoch 076 |  89.0s | train loss 0.1087 AP 0.8417 | val loss 0.2055 AP 0.7077 | test loss 0.2176 AP 0.6764 | best val 0.7095 (epoch 73, test 0.684196581534904)
epoch 077 |  89.7s | train loss 0.1057 AP 0.8478 | val loss 0.2181 AP 0.6948 | test loss 0.2211 AP 0.6776 | best val 0.7095 (epoch 73, test 0.684196581534904)
epoch 078 |  88.8s | train loss 0.1075 AP 0.8484 | val loss 0.1925 AP 0.7100 | test loss 0.2034 AP 0.6899 | best val 0.7100 (epoch 78, test 0.6899373862459837)
epoch 079 |  88.4s | train loss 0.1049 AP 0.8508 | val loss 0.1991 AP 0.7067 | test loss 0.2089 AP 0.6892 | best val 0.7100 (epoch 78, test 0.6899373862459837)
epoch 080 |  88.8s | train loss 0.1024 AP 0.8566 | val loss 0.2027 AP 0.7062 | test loss 0.2192 AP 0.6837 | best val 0.7100 (epoch 78, test 0.6899373862459837)
epoch 081 |  89.5s | train loss 0.1029 AP 0.8555 | val loss 0.2056 AP 0.7047 | test loss 0.2139 AP 0.6918 | best val 0.7100 (epoch 78, test 0.6899373862459837)
