{'dataset': 'Peptides-func', 'max_hops': 40, 'use_lap_pe': True, 'lap_pe_dim': 8, 'hidden_dim': 320, 'num_heads': 40, 'ffn_ratio': 4, 'num_layers': 1, 'dropout': 0.2, 'graph_pool': 'sum', 'hop_mode': 'single', 'hop_window': 0, 'num_global_heads': 1, 'lr': 0.001, 'lr_min': 1e-07, 'weight_decay': 0.0003, 'batch_size': 32, 'max_epochs': 200, 'patience': 40, 'reduce_lr_patience': 10, 'warmup_ratio': 0.05, 'grad_clip': 1.0, 'num_workers': 4, 'dist_mask_workers': 8, 'device': None, 'save_dir': 'checkpoints_hop_masked_func_best_lape', 'seed': 0, 'checkpoint': None}
Unknown args =  []
[Peptides-func] task=multi_label level=graph metric=macro_ap (higher_is_better=True)
  Loading cached distance masks from ./data/Peptides-func/dist_masks/train.pkl
  Loading cached distance masks from ./data/Peptides-func/dist_masks/val.pkl
  Loading cached distance masks from ./data/Peptides-func/dist_masks/test.pkl
Head -> hop set assignment:
  head 0: [0, 1]
epoch 045 | 127.9s | train loss 0.1188 AP 0.8141 | val loss 0.2107 AP 0.6786 | test loss 0.2244 AP 0.6525 | best val 0.6923 (epoch 42, test 0.6758193074408501)
epoch 046 | 127.6s | train loss 0.1139 AP 0.8252 | val loss 0.2054 AP 0.6712 | test loss 0.2268 AP 0.6536 | best val 0.6923 (epoch 42, test 0.6758193074408501)
epoch 047 | 127.4s | train loss 0.1120 AP 0.8299 | val loss 0.2304 AP 0.6954 | test loss 0.2536 AP 0.6637 | best val 0.6954 (epoch 47, test 0.6636786851270543)
epoch 048 | 127.9s | train loss 0.1100 AP 0.8301 | val loss 0.2556 AP 0.6749 | test loss 0.2718 AP 0.6611 | best val 0.6954 (epoch 47, test 0.6636786851270543)
epoch 049 | 130.2s | train loss 0.1072 AP 0.8399 | val loss 0.2424 AP 0.6907 | test loss 0.2645 AP 0.6761 | best val 0.6954 (epoch 47, test 0.6636786851270543)
epoch 050 | 129.6s | train loss 0.1044 AP 0.8402 | val loss 0.2252 AP 0.6866 | test loss 0.2434 AP 0.6611 | best val 0.6954 (epoch 47, test 0.6636786851270543)
epoch 051 | 128.1s | train loss 0.1043 AP 0.8404 | val loss 0.2364 AP 0.6811 | test loss 0.2492 AP 0.6764 | best val 0.6954 (epoch 47, test 0.6636786851270543)
epoch 052 | 130.8s | train loss 0.1028 AP 0.8470 | val loss 0.2549 AP 0.6912 | test loss 0.2624 AP 0.6849 | best val 0.6954 (epoch 47, test 0.6636786851270543)
epoch 053 | 130.8s | train loss 0.1008 AP 0.8530 | val loss 0.2355 AP 0.6926 | test loss 0.2477 AP 0.6755 | best val 0.6954 (epoch 47, test 0.6636786851270543)
epoch 054 | 128.5s | train loss 0.0986 AP 0.8545 | val loss 0.2392 AP 0.6894 | test loss 0.2546 AP 0.6785 | best val 0.6954 (epoch 47, test 0.6636786851270543)
epoch 055 | 130.2s | train loss 0.0979 AP 0.8596 | val loss 0.2191 AP 0.6784 | test loss 0.2379 AP 0.6657 | best val 0.6954 (epoch 47, test 0.6636786851270543)
epoch 056 | 130.0s | train loss 0.0949 AP 0.8653 | val loss 0.2119 AP 0.7011 | test loss 0.2307 AP 0.6687 | best val 0.7011 (epoch 56, test 0.6687058711106193)
epoch 057 | 129.7s | train loss 0.0954 AP 0.8637 | val loss 0.2340 AP 0.6848 | test loss 0.2510 AP 0.6677 | best val 0.7011 (epoch 56, test 0.6687058711106193)
epoch 058 | 129.9s | train loss 0.0940 AP 0.8671 | val loss 0.2377 AP 0.6821 | test loss 0.2550 AP 0.6804 | best val 0.7011 (epoch 56, test 0.6687058711106193)
epoch 059 | 129.9s | train loss 0.0902 AP 0.8741 | val loss 0.2554 AP 0.6766 | test loss 0.2680 AP 0.6657 | best val 0.7011 (epoch 56, test 0.6687058711106193)
epoch 060 | 128.7s | train loss 0.0878 AP 0.8785 | val loss 0.2862 AP 0.6738 | test loss 0.2998 AP 0.6682 | best val 0.7011 (epoch 56, test 0.6687058711106193)
epoch 061 | 127.6s | train loss 0.0881 AP 0.8760 | val loss 0.2430 AP 0.6869 | test loss 0.2506 AP 0.6699 | best val 0.7011 (epoch 56, test 0.6687058711106193)
epoch 062 | 128.1s | train loss 0.0841 AP 0.8854 | val loss 0.2586 AP 0.6960 | test loss 0.2658 AP 0.6801 | best val 0.7011 (epoch 56, test 0.6687058711106193)
epoch 063 | 127.6s | train loss 0.0842 AP 0.8827 | val loss 0.2416 AP 0.7069 | test loss 0.2576 AP 0.6906 | best val 0.7069 (epoch 63, test 0.690572582060942)
epoch 064 | 128.3s | train loss 0.0827 AP 0.8880 | val loss 0.2443 AP 0.6901 | test loss 0.2623 AP 0.6898 | best val 0.7069 (epoch 63, test 0.690572582060942)
epoch 065 | 127.7s | train loss 0.0808 AP 0.8918 | val loss 0.2502 AP 0.6909 | test loss 0.2604 AP 0.6839 | best val 0.7069 (epoch 63, test 0.690572582060942)
epoch 066 | 128.7s | train loss 0.0786 AP 0.8974 | val loss 0.2796 AP 0.6987 | test loss 0.2964 AP 0.6830 | best val 0.7069 (epoch 63, test 0.690572582060942)
epoch 067 | 128.7s | train loss 0.0799 AP 0.8966 | val loss 0.2771 AP 0.6799 | test loss 0.2877 AP 0.6812 | best val 0.7069 (epoch 63, test 0.690572582060942)
epoch 068 | 131.5s | train loss 0.0783 AP 0.8951 | val loss 0.2633 AP 0.6921 | test loss 0.2782 AP 0.6727 | best val 0.7069 (epoch 63, test 0.690572582060942)
epoch 069 | 131.3s | train loss 0.0767 AP 0.8991 | val loss 0.2721 AP 0.6888 | test loss 0.2853 AP 0.6729 | best val 0.7069 (epoch 63, test 0.690572582060942)
