[Peptides-struct] task=regression level=graph metric=mae (higher_is_better=False)
  Loading cached distance masks from ./data/Peptides-struct/dist_masks/train.pkl
  Loading cached distance masks from ./data/Peptides-struct/dist_masks/val.pkl
  Loading cached distance masks from ./data/Peptides-struct/dist_masks/test.pkl
Head -> hop set assignment:
  head 0: [0, 1]
epoch 049 |  88.9s | train loss 0.2719 MAE 0.2719 | val loss 0.2753 MAE 0.2752 | test loss 0.2814 MAE 0.2813 | best val 0.2589 (epoch 44, test 0.2631713428664674)
epoch 050 |  88.9s | train loss 0.2685 MAE 0.2685 | val loss 0.2637 MAE 0.2635 | test loss 0.2670 MAE 0.2669 | best val 0.2589 (epoch 44, test 0.2631713428664674)
epoch 051 |  89.3s | train loss 0.2708 MAE 0.2708 | val loss 0.2591 MAE 0.2590 | test loss 0.2630 MAE 0.2628 | best val 0.2589 (epoch 44, test 0.2631713428664674)
epoch 052 |  89.0s | train loss 0.2697 MAE 0.2696 | val loss 0.2615 MAE 0.2614 | test loss 0.2682 MAE 0.2681 | best val 0.2589 (epoch 44, test 0.2631713428664674)
epoch 053 |  91.7s | train loss 0.2678 MAE 0.2678 | val loss 0.2598 MAE 0.2597 | test loss 0.2629 MAE 0.2628 | best val 0.2589 (epoch 44, test 0.2631713428664674)
epoch 054 |  87.9s | train loss 0.2668 MAE 0.2668 | val loss 0.2723 MAE 0.2722 | test loss 0.2746 MAE 0.2744 | best val 0.2589 (epoch 44, test 0.2631713428664674)
epoch 055 |  87.0s | train loss 0.2689 MAE 0.2690 | val loss 0.2708 MAE 0.2706 | test loss 0.2740 MAE 0.2739 | best val 0.2589 (epoch 44, test 0.2631713428664674)
epoch 056 |  87.1s | train loss 0.2664 MAE 0.2664 | val loss 0.2569 MAE 0.2568 | test loss 0.2591 MAE 0.2589 | best val 0.2568 (epoch 56, test 0.25893868336416276)
epoch 057 |  88.8s | train loss 0.2668 MAE 0.2667 | val loss 0.2629 MAE 0.2627 | test loss 0.2676 MAE 0.2675 | best val 0.2568 (epoch 56, test 0.25893868336416276)
epoch 058 |  88.4s | train loss 0.2681 MAE 0.2680 | val loss 0.2614 MAE 0.2612 | test loss 0.2635 MAE 0.2634 | best val 0.2568 (epoch 56, test 0.25893868336416276)
epoch 059 |  85.5s | train loss 0.2660 MAE 0.2660 | val loss 0.2543 MAE 0.2541 | test loss 0.2586 MAE 0.2585 | best val 0.2541 (epoch 59, test 0.25850822246809946)
epoch 060 |  88.0s | train loss 0.2633 MAE 0.2633 | val loss 0.2684 MAE 0.2682 | test loss 0.2730 MAE 0.2729 | best val 0.2541 (epoch 59, test 0.25850822246809946)
epoch 061 |  87.4s | train loss 0.2631 MAE 0.2630 | val loss 0.2607 MAE 0.2606 | test loss 0.2657 MAE 0.2656 | best val 0.2541 (epoch 59, test 0.25850822246809946)
epoch 062 |  88.9s | train loss 0.2616 MAE 0.2616 | val loss 0.2683 MAE 0.2682 | test loss 0.2726 MAE 0.2725 | best val 0.2541 (epoch 59, test 0.25850822246809946)
