{'dataset': 'PascalVOC-SP', 'max_hops': 40, 'use_lap_pe': False, 'lap_pe_dim': 8, 'hidden_dim': 320, 'num_heads': 40, 'ffn_ratio': 4, 'num_layers': 1, 'dropout': 0.2, 'graph_pool': 'sum', 'hop_mode': 'single', 'hop_window': 0, 'num_global_heads': 1, 'lr': 0.001, 'lr_min': 1e-06, 'weight_decay': 0.0003, 'batch_size': 128, 'max_epochs': 200, 'patience': 40, 'reduce_lr_patience': 10, 'warmup_ratio': 0.05, 'grad_clip': 1.0, 'num_workers': 4, 'dist_mask_workers': 8, 'device': None, 'save_dir': 'checkpoints_hop_masked_pascal_func_best', 'seed': 0, 'checkpoint': None}
Unknown args =  []
[PascalVOC-SP] task=multiclass level=node metric=node_f1_macro (higher_is_better=True)
  Loading cached distance masks from ./data/PascalVOC-SP/dist_masks/train.pkl
  Loading cached distance masks from ./data/PascalVOC-SP/dist_masks/val.pkl
  Loading cached distance masks from ./data/PascalVOC-SP/dist_masks/test.pkl
Head -> hop set assignment:
  head 0: [0, 1]
epoch 032 | 211.9s | train loss 1.2345 F1 0.0472 | val loss 1.2442 F1 0.0472 | test loss 1.1981 F1 0.0456 | best val 0.0472 (epoch 32, test 0.04564033394659299)
epoch 033 | 211.9s | train loss 1.2336 F1 0.0486 | val loss 1.2422 F1 0.0585 | test loss 1.1989 F1 0.0577 | best val 0.0585 (epoch 33, test 0.057741162617082446)
epoch 034 | 211.2s | train loss 1.2332 F1 0.0504 | val loss 1.2572 F1 0.0455 | test loss 1.2084 F1 0.0435 | best val 0.0585 (epoch 33, test 0.057741162617082446)
epoch 035 | 210.7s | train loss 1.2323 F1 0.0495 | val loss 1.2345 F1 0.0485 | test loss 1.1924 F1 0.0467 | best val 0.0585 (epoch 33, test 0.057741162617082446)
epoch 036 | 211.4s | train loss 1.2274 F1 0.0508 | val loss 1.2391 F1 0.0461 | test loss 1.1939 F1 0.0455 | best val 0.0585 (epoch 33, test 0.057741162617082446)
epoch 037 | 210.6s | train loss 1.2314 F1 0.0503 | val loss 1.2343 F1 0.0570 | test loss 1.1927 F1 0.0544 | best val 0.0585 (epoch 33, test 0.057741162617082446)
epoch 038 | 210.4s | train loss 1.2219 F1 0.0539 | val loss 1.2320 F1 0.0532 | test loss 1.1833 F1 0.0518 | best val 0.0585 (epoch 33, test 0.057741162617082446)
epoch 039 | 210.5s | train loss 1.2185 F1 0.0534 | val loss 1.2354 F1 0.0570 | test loss 1.1886 F1 0.0552 | best val 0.0585 (epoch 33, test 0.057741162617082446)
epoch 040 | 209.5s | train loss 1.2181 F1 0.0542 | val loss 1.2261 F1 0.0591 | test loss 1.1789 F1 0.0566 | best val 0.0591 (epoch 40, test 0.05659489420314877)
epoch 041 | 212.4s | train loss 1.2167 F1 0.0551 | val loss 1.2199 F1 0.0632 | test loss 1.1810 F1 0.0605 | best val 0.0632 (epoch 41, test 0.060498185785172534)
epoch 042 | 209.0s | train loss 1.2163 F1 0.0555 | val loss 1.2235 F1 0.0615 | test loss 1.1790 F1 0.0602 | best val 0.0632 (epoch 41, test 0.060498185785172534)
epoch 043 | 210.5s | train loss 1.2088 F1 0.0568 | val loss 1.2227 F1 0.0589 | test loss 1.1800 F1 0.0583 | best val 0.0632 (epoch 41, test 0.060498185785172534)
epoch 044 | 208.0s | train loss 1.2067 F1 0.0587 | val loss 1.2200 F1 0.0592 | test loss 1.1751 F1 0.0565 | best val 0.0632 (epoch 41, test 0.060498185785172534)
epoch 045 | 209.8s | train loss 1.2053 F1 0.0579 | val loss 1.2268 F1 0.0618 | test loss 1.1861 F1 0.0586 | best val 0.0632 (epoch 41, test 0.060498185785172534)
epoch 046 | 211.7s | train loss 1.2029 F1 0.0595 | val loss 1.2119 F1 0.0574 | test loss 1.1694 F1 0.0543 | best val 0.0632 (epoch 41, test 0.060498185785172534)
epoch 047 | 212.3s | train loss 1.2022 F1 0.0600 | val loss 1.2098 F1 0.0697 | test loss 1.1702 F1 0.0665 | best val 0.0697 (epoch 47, test 0.06652331223954894)
epoch 048 | 211.2s | train loss 1.1970 F1 0.0626 | val loss 1.2129 F1 0.0684 | test loss 1.1679 F1 0.0656 | best val 0.0697 (epoch 47, test 0.06652331223954894)
epoch 049 | 209.8s | train loss 1.1943 F1 0.0621 | val loss 1.2066 F1 0.0547 | test loss 1.1650 F1 0.0519 | best val 0.0697 (epoch 47, test 0.06652331223954894)
epoch 050 | 209.1s | train loss 1.1908 F1 0.0632 | val loss 1.2061 F1 0.0703 | test loss 1.1661 F1 0.0647 | best val 0.0703 (epoch 50, test 0.06466753656485866)
epoch 051 | 208.5s | train loss 1.1867 F1 0.0668 | val loss 1.2014 F1 0.0637 | test loss 1.1611 F1 0.0589 | best val 0.0703 (epoch 50, test 0.06466753656485866)
epoch 052 | 209.1s | train loss 1.1845 F1 0.0651 | val loss 1.2010 F1 0.0652 | test loss 1.1640 F1 0.0614 | best val 0.0703 (epoch 50, test 0.06466753656485866)
epoch 053 | 210.5s | train loss 1.1844 F1 0.0647 | val loss 1.2090 F1 0.0672 | test loss 1.1686 F1 0.0621 | best val 0.0703 (epoch 50, test 0.06466753656485866)
epoch 054 | 211.3s | train loss 1.1827 F1 0.0671 | val loss 1.2095 F1 0.0644 | test loss 1.1696 F1 0.0599 | best val 0.0703 (epoch 50, test 0.06466753656485866)
epoch 055 | 207.7s | train loss 1.1794 F1 0.0670 | val loss 1.2096 F1 0.0608 | test loss 1.1642 F1 0.0577 | best val 0.0703 (epoch 50, test 0.06466753656485866)
epoch 056 | 210.1s | train loss 1.1745 F1 0.0695 | val loss 1.1944 F1 0.0774 | test loss 1.1546 F1 0.0711 | best val 0.0774 (epoch 56, test 0.0710995728456908)
epoch 057 | 210.5s | train loss 1.1685 F1 0.0716 | val loss 1.1984 F1 0.0784 | test loss 1.1507 F1 0.0730 | best val 0.0784 (epoch 57, test 0.07304775065728164)
epoch 058 | 212.9s | train loss 1.1661 F1 0.0707 | val loss 1.1876 F1 0.0636 | test loss 1.1399 F1 0.0618 | best val 0.0784 (epoch 57, test 0.07304775065728164)
epoch 059 | 212.1s | train loss 1.1628 F1 0.0725 | val loss 1.1868 F1 0.0826 | test loss 1.1452 F1 0.0766 | best val 0.0826 (epoch 59, test 0.07661128271844916)
epoch 060 | 210.8s | train loss 1.1594 F1 0.0748 | val loss 1.1850 F1 0.0686 | test loss 1.1410 F1 0.0665 | best val 0.0826 (epoch 59, test 0.07661128271844916)
epoch 061 | 211.3s | train loss 1.1573 F1 0.0742 | val loss 1.1836 F1 0.0740 | test loss 1.1368 F1 0.0678 | best val 0.0826 (epoch 59, test 0.07661128271844916)
epoch 062 | 211.5s | train loss 1.1545 F1 0.0772 | val loss 1.1804 F1 0.0730 | test loss 1.1330 F1 0.0734 | best val 0.0826 (epoch 59, test 0.07661128271844916)
epoch 063 | 208.2s | train loss 1.1539 F1 0.0775 | val loss 1.1847 F1 0.0666 | test loss 1.1350 F1 0.0643 | best val 0.0826 (epoch 59, test 0.07661128271844916)
epoch 064 | 209.7s | train loss 1.1477 F1 0.0792 | val loss 1.1773 F1 0.0735 | test loss 1.1306 F1 0.0716 | best val 0.0826 (epoch 59, test 0.07661128271844916)
epoch 065 | 211.3s | train loss 1.1461 F1 0.0811 | val loss 1.1695 F1 0.0772 | test loss 1.1294 F1 0.0715 | best val 0.0826 (epoch 59, test 0.07661128271844916)
epoch 066 | 208.3s | train loss 1.1416 F1 0.0851 | val loss 1.1705 F1 0.0768 | test loss 1.1210 F1 0.0734 | best val 0.0826 (epoch 59, test 0.07661128271844916)
epoch 067 | 210.3s | train loss 1.1400 F1 0.0832 | val loss 1.1725 F1 0.0796 | test loss 1.1237 F1 0.0756 | best val 0.0826 (epoch 59, test 0.07661128271844916)
epoch 068 | 212.8s | train loss 1.1413 F1 0.0831 | val loss 1.1642 F1 0.0810 | test loss 1.1244 F1 0.0777 | best val 0.0826 (epoch 59, test 0.07661128271844916)
epoch 069 | 211.4s | train loss 1.1344 F1 0.0867 | val loss 1.1753 F1 0.0778 | test loss 1.1353 F1 0.0722 | best val 0.0826 (epoch 59, test 0.07661128271844916)
epoch 070 | 210.6s | train loss 1.1371 F1 0.0863 | val loss 1.1565 F1 0.0867 | test loss 1.1170 F1 0.0809 | best val 0.0867 (epoch 70, test 0.08092150578470869)
epoch 071 | 208.9s | train loss 1.1304 F1 0.0904 | val loss 1.1607 F1 0.0887 | test loss 1.1162 F1 0.0866 | best val 0.0887 (epoch 71, test 0.08663871328364518)
epoch 072 | 211.5s | train loss 1.1328 F1 0.0883 | val loss 1.1683 F1 0.0782 | test loss 1.1212 F1 0.0751 | best val 0.0887 (epoch 71, test 0.08663871328364518)
epoch 073 | 210.5s | train loss 1.1306 F1 0.0878 | val loss 1.1615 F1 0.0889 | test loss 1.1193 F1 0.0829 | best val 0.0889 (epoch 73, test 0.08294976269424004)
epoch 074 | 211.7s | train loss 1.1252 F1 0.0903 | val loss 1.1666 F1 0.0891 | test loss 1.1133 F1 0.0871 | best val 0.0891 (epoch 74, test 0.08706058226075447)
epoch 075 | 210.0s | train loss 1.1242 F1 0.0907 | val loss 1.1753 F1 0.0803 | test loss 1.1278 F1 0.0807 | best val 0.0891 (epoch 74, test 0.08706058226075447)
epoch 076 | 210.7s | train loss 1.1205 F1 0.0936 | val loss 1.1527 F1 0.0942 | test loss 1.1150 F1 0.0937 | best val 0.0942 (epoch 76, test 0.09371026579382108)
epoch 077 | 208.9s | train loss 1.1165 F1 0.0958 | val loss 1.1594 F1 0.0892 | test loss 1.1203 F1 0.0877 | best val 0.0942 (epoch 76, test 0.09371026579382108)
epoch 078 | 199.1s | train loss 1.1164 F1 0.0951 | val loss 1.1608 F1 0.0886 | test loss 1.1087 F1 0.0886 | best val 0.0942 (epoch 76, test 0.09371026579382108)
epoch 079 | 199.2s | train loss 1.1180 F1 0.0939 | val loss 1.1514 F1 0.0928 | test loss 1.1088 F1 0.0884 | best val 0.0942 (epoch 76, test 0.09371026579382108)
epoch 080 | 198.4s | train loss 1.1115 F1 0.0982 | val loss 1.1510 F1 0.1019 | test loss 1.1092 F1 0.0999 | best val 0.1019 (epoch 80, test 0.09986779027344861)
epoch 081 | 210.9s | train loss 1.1092 F1 0.0986 | val loss 1.1431 F1 0.0948 | test loss 1.1013 F1 0.0920 | best val 0.1019 (epoch 80, test 0.09986779027344861)
epoch 082 | 215.4s | train loss 1.1095 F1 0.1001 | val loss 1.1514 F1 0.0919 | test loss 1.1066 F1 0.0920 | best val 0.1019 (epoch 80, test 0.09986779027344861)
epoch 083 | 213.9s | train loss 1.1078 F1 0.0990 | val loss 1.1499 F1 0.0953 | test loss 1.1080 F1 0.0974 | best val 0.1019 (epoch 80, test 0.09986779027344861)
epoch 084 | 214.8s | train loss 1.1036 F1 0.1017 | val loss 1.1542 F1 0.0987 | test loss 1.1066 F1 0.0997 | best val 0.1019 (epoch 80, test 0.09986779027344861)
epoch 085 | 215.1s | train loss 1.1015 F1 0.1047 | val loss 1.1415 F1 0.1023 | test loss 1.0947 F1 0.1021 | best val 0.1023 (epoch 85, test 0.1020605048681474)
epoch 086 | 215.9s | train loss 1.1020 F1 0.1037 | val loss 1.1472 F1 0.0865 | test loss 1.1014 F1 0.0867 | best val 0.1023 (epoch 85, test 0.1020605048681474)
epoch 087 | 216.9s | train loss 1.1030 F1 0.1029 | val loss 1.1410 F1 0.0963 | test loss 1.0957 F1 0.0968 | best val 0.1023 (epoch 85, test 0.1020605048681474)
epoch 088 | 215.3s | train loss 1.0942 F1 0.1072 | val loss 1.1464 F1 0.1040 | test loss 1.0977 F1 0.1058 | best val 0.1040 (epoch 88, test 0.1058386938271496)
epoch 089 | 215.2s | train loss 1.0951 F1 0.1092 | val loss 1.1334 F1 0.1015 | test loss 1.0902 F1 0.1044 | best val 0.1040 (epoch 88, test 0.1058386938271496)
epoch 090 | 213.0s | train loss 1.0944 F1 0.1079 | val loss 1.1298 F1 0.0985 | test loss 1.0878 F1 0.1004 | best val 0.1040 (epoch 88, test 0.1058386938271496)
epoch 091 | 216.6s | train loss 1.0951 F1 0.1109 | val loss 1.1464 F1 0.1138 | test loss 1.1028 F1 0.1161 | best val 0.1138 (epoch 91, test 0.11606966385927836)
epoch 092 | 214.3s | train loss 1.0894 F1 0.1109 | val loss 1.1414 F1 0.1039 | test loss 1.0944 F1 0.1028 | best val 0.1138 (epoch 91, test 0.11606966385927836)
epoch 093 | 214.3s | train loss 1.0909 F1 0.1096 | val loss 1.1431 F1 0.1004 | test loss 1.0978 F1 0.1041 | best val 0.1138 (epoch 91, test 0.11606966385927836)
epoch 094 | 214.8s | train loss 1.0891 F1 0.1156 | val loss 1.1347 F1 0.1070 | test loss 1.0865 F1 0.1099 | best val 0.1138 (epoch 91, test 0.11606966385927836)
